* Measurement data measured by REW V5.19
* Source: ?ó??? (Realtek High Definition Audio, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 2019-7-30 12:56:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: 七月 30 12:56:35
* Smoothing: 1/6 octave
* Frequency Step: 0.36621654 Hz
* Start Frequency: 1.8310547 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
299.565, 52.166, -17.749
299.931, 52.160, -17.740
300.298, 52.154, -17.731
300.664, 52.148, -17.723
301.030, 52.142, -17.714
301.396, 52.136, -17.705
301.762, 52.131, -17.697
302.129, 52.125, -17.688
302.495, 52.119, -17.679
302.861, 52.113, -17.670
303.227, 52.107, -17.661
303.593, 52.101, -17.652
303.960, 52.096, -17.643
304.326, 52.090, -17.634
304.692, 52.084, -17.625
305.058, 52.078, -17.615
305.425, 52.073, -17.606
305.791, 52.067, -17.597
306.157, 52.061, -17.587
306.523, 52.056, -17.578
306.889, 52.050, -17.568
307.256, 52.044, -17.559
307.622, 52.039, -17.549
307.988, 52.033, -17.539
308.354, 52.027, -17.530
308.721, 52.022, -17.520
309.087, 52.016, -17.510
309.453, 52.011, -17.500
309.819, 52.005, -17.490
310.185, 51.999, -17.480
310.552, 51.994, -17.470
310.918, 51.988, -17.460
311.284, 51.983, -17.450
311.650, 51.977, -17.440
312.016, 51.972, -17.430
312.383, 51.966, -17.419
312.749, 51.961, -17.409
313.115, 51.956, -17.399
313.481, 51.950, -17.388
313.848, 51.945, -17.378
314.214, 51.939, -17.367
314.580, 51.934, -17.357
314.946, 51.929, -17.346
315.312, 51.923, -17.335
315.679, 51.918, -17.325
316.045, 51.912, -17.314
316.411, 51.907, -17.303
316.777, 51.902, -17.292
317.143, 51.897, -17.281
317.510, 51.891, -17.270
317.876, 51.886, -17.259
318.242, 51.881, -17.248
318.608, 51.875, -17.237
318.975, 51.870, -17.226
319.341, 51.865, -17.215
319.707, 51.860, -17.204
320.073, 51.855, -17.193
320.439, 51.849, -17.182
320.806, 51.844, -17.170
321.172, 51.839, -17.159
321.538, 51.834, -17.148
321.904, 51.829, -17.136
322.271, 51.824, -17.125
322.637, 51.818, -17.114
323.003, 51.813, -17.102
323.369, 51.808, -17.091
323.735, 51.803, -17.079
324.102, 51.798, -17.068
324.468, 51.793, -17.056
324.834, 51.788, -17.045
325.200, 51.783, -17.033
325.566, 51.778, -17.022
325.933, 51.773, -17.010
326.299, 51.768, -16.998
326.665, 51.763, -16.987
327.031, 51.758, -16.975
327.398, 51.753, -16.964
327.764, 51.748, -16.952
328.130, 51.743, -16.940
328.496, 51.738, -16.928
328.862, 51.733, -16.917
329.229, 51.728, -16.905
329.595, 51.723, -16.893
329.961, 51.718, -16.881
330.327, 51.713, -16.870
330.694, 51.708, -16.858
331.060, 51.703, -16.846
331.426, 51.698, -16.834
331.792, 51.693, -16.822
332.158, 51.688, -16.811
332.525, 51.683, -16.799
332.891, 51.679, -16.787
333.257, 51.674, -16.775
333.623, 51.669, -16.763
333.989, 51.664, -16.751
334.356, 51.659, -16.740
334.722, 51.654, -16.728
